OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
LEMUR-2-LILLYJO,2019-038L,2024-01-20T12:57:10.046304,15.86049516,.0005287,97.6272,20.8092,183.9613,176.1617,0,U,44396,999,25236,.11774E-2,.298223E-2,0
SONATE,2019-038Q,2024-01-20T11:31:45.400512,15.27559926,.0015825,97.7046,8.8199,272.4102,87.5325,0,U,44400,999,25133,.67617E-3,.18238E-3,0
2019-038R,2019-038R,2024-01-20T13:30:39.132288,15.59999327,.000698,97.6786,18.7172,195.8266,164.2773,0,U,44401,999,25205,.15572E-2,.127565E-2,0
LEMUR-2-WANLI,2019-038S,2024-01-20T18:08:46.695264,15.87657363,.0006428,97.6311,21.5847,173.3693,186.7664,0,U,44402,999,25243,.13693E-2,.378503E-2,0
SOKRAT,2019-038U,2024-01-20T12:54:28.154304,15.53339483,.000648,97.6805,17.3722,222.0409,138.0347,0,U,44404,999,25196,.14438E-2,.92025E-3,0
LEMUR-2-DUSTINTHEWIND,2019-038V,2024-01-20T12:49:30.245376,15.66191442,.0006291,97.6525,18.6030,187.2583,172.8586,0,U,44405,999,25220,.16988E-2,.178152E-2,0
LUCKY-7,2019-038W,2024-01-20T10:58:45.361344,15.33131605,.0013362,97.6982,11.2911,259.3362,100.6375,0,U,44406,999,25150,.85056E-3,.27283E-3,0
LEMUR-2-ALEX-MADDY,2019-038X,2024-01-19T21:49:45.958080,15.45262593,.0011398,97.6700,13.8410,245.5070,114.4990,0,U,44407,999,25173,.73122E-3,.3488E-3,0
LEMUR-2-EJATTA,2019-038Z,2024-01-20T11:42:37.748160,15.76354425,.0005266,97.6361,20.3144,168.8354,191.3028,0,U,44409,999,25233,.2352E-2,.386216E-2,0
LEMUR-2-GREGROBINSON,2019-038AB,2024-01-20T17:32:22.109280,15.85193155,.0004665,97.6271,21.7754,190.1387,169.9789,0,U,44411,999,25205,.28213E-2,.719545E-2,0
BEESAT 9,2019-038AC,2024-01-20T12:31:31.151712,15.48360341,.0007448,97.6856,16.0490,234.8529,125.2023,0,U,44412,999,25155,.13512E-2,.72032E-3,0
LEMUR-2-YNDRD,2019-038AD,2024-01-20T13:12:45.721152,15.50959916,.0008714,97.6617,15.0837,227.8264,132.2248,0,U,44413,999,25190,.16399E-2,.96126E-3,0
JAISAT-1,2019-038F,2024-01-20T12:20:52.472544,15.48195019,.0007305,97.6839,17.1481,227.2554,132.8081,0,U,44419,999,25193,.12812E-2,.67866E-3,0
COSMOS 2535,2019-039A,2024-01-20T18:48:59.361696,14.87954810,.0007563,97.6906,68.0474,245.1556,114.8875,0,U,44421,999,24572,.23436E-3,.2096E-4,0
